record_id,codigo_ext,estado_original
rec19zYDt8muMQ9G4,VP-2026-0004,creada
rec2jxF44YNADV4MB,VP-2026-0064,creada
rec5ktsyekyC1vGjb,VP-2026-0034,creada
rec6rom8NXByRsCwN,VP-2026-0031,creada
rec75VXoWvRImjd0f,VP-2026-0060,asignada
rec9qf3DchOY5Lk2N,VP-2026-0061,asignada
recAdPx05Af4lZwJb,VP-2026-0065,creada
recBqKrJqgGw9wj7k,VP-2026-0047,asignada
recD3rCtZwHjmPpoo,VP-2026-0029,creada
recH0MNSojVMl8VHV,VP-2026-0028,creada
recHeANrcSL2w0wnH,VP-2026-0046,asignada
recIEvKCbe7J8TDaB,VP-2026-0053,creada
recJigoQcsGH9Xuem,VP-2026-0042,creada
recJm4yZuZPMOBSLT,VP-2026-0037,creada
recLRlZg1gSSE4WrM,VP-2026-0040,creada
recPN3ExYyivi6uhR,VP-2026-0050,creada
recPSdQR1jqK3QiPU,VP-2026-0044,asignada
recPx0yiK9k4oPG4V,VP-2026-0005,creada
recQgfhUPirXCnSR8,VP-2026-0054,asignada
recRjyT3kg0vYGcEH,VP-2026-0038,creada
recU4PknUhFgyQQhr,VP-2026-0059,asignada
recWrgVM0iLA9FBTG,VP-2026-0045,asignada
recXC2NvItjnJy1kK,VP-2026-0048,asignada
recYaVgMChc8QJVRG,VP-2026-0036,creada
recYcijo7kb1NDjqM,VP-2026-0055,asignada
recbg9KL66iZXGa5c,VP-2026-0026,creada
recd7tJVAqoPvBLf5,VP-2026-0027,creada
recdBwN9OimaCcL9T,VP-2026-0063,calculada
recgKuhMFV4PHuLEM,VP-2026-0051,creada
recga8JAig4wiyFwb,VP-2026-0043,creada
reci06q1kySVg43KG,VP-2026-0006,creada
recidZZ0H9CSEIrsg,VP-2026-0052,creada
recjPkLir5FNaQZWy,VP-2026-0057,creada
reclC1CE5VHLTisKD,VP-2026-0007,creada
reclzOOmRHH5LLa8x,VP-2026-0003,creada
recmMzeu3eWGxyXsf,VP-2026-0067,asignada
recnS28rQxzqPrlh5,VP-2026-0049,creada
recni55rcRpiqtNjE,VP-2026-0039,asignada
recno9uLIZfsHXDFP,VP-2026-0032,creada
recnuyVVLpA7L7i68,VP-2026-0024,creada
recpQYXm50mSgoeOy,VP-2026-0035,creada
recuntRy8ZH1hzsqV,VP-2026-0025,creada
recvtkiqSUPzTKEQ0,VP-2026-0058,asignada
recwOChmg4Cnk9JMG,VP-2026-0030,creada
recxqDCp0mIYd7jr5,VP-2026-0008,creada
recy5MD3qCuYhPevr,VP-2026-0056,asignada
reczWyNuc2Mu9EPWl,VP-2026-0033,creada
reczcw7nC2UM9kfYV,VP-2026-0041,creada
